timestep Fx0 Fy0 Fz0 Fx1 Fy1 Fz1
400 26.39635790 -6.06785186 10.47295088 -30.16970127 -0.34915931 3.79387564
800 27.89782091 -0.04002200 0.47263609 -28.23257124 -0.83209040 -0.96114277
1200 26.99242239 0.03764678 -7.28268025 -27.73192480 0.00000000 0.00000000
1600 28.03900085 0.57543839 -0.06765161 -27.47471734 0.15403625 -0.03487985
2000 27.56581297 -0.09760801 -0.03978582 -29.31860837 -6.64548946 0.23952393
2400 26.95424687 -5.16733483 1.16222856 -27.66033113 -0.38884109 0.01850131
2800 25.29825086 0.09458082 4.90130600 -25.37832044 0.22697260 1.04485130
3200 26.00068564 -1.03168036 -0.53314313 -25.95707310 1.11293894 -3.94414670
3600 27.90295128 1.08786363 1.02668605 -26.47200567 0.50840938 -2.99921003
4000 28.66904521 0.97096570 2.90426260 -27.86532372 1.35677925 1.95845718
4400 25.68262825 -2.73122491 6.92999422 -25.46976573 -5.80733580 1.92788199
4800 27.73192480 0.00000000 0.00000000 -21.15786365 -13.25728690 25.94452065
5200 27.83055034 0.32614985 -0.15732938 -26.70302382 -0.25585922 -0.89641547
5600 31.85753410 -10.98488927 -1.72271741 -24.26076463 -0.60920117 -2.28027455
6000 28.06725304 -4.23335244 0.03329528 -27.65140105 -2.99226636 4.88931824
6400 29.85762626 1.55122511 1.90275059 -31.15382344 -0.14795715 5.80752598
6800 28.43556640 0.88841207 0.01789950 -29.26941846 2.30525854 0.14523688
7200 27.54094585 -3.27788381 -5.84680370 -26.00580689 0.21248217 -2.42414886
7600 28.29464450 -6.10711072 1.34490721 -28.60199104 4.74511987 0.50830420
8000 20.26011527 -5.16360895 -1.33676452 -25.54739571 -1.57588213 -5.07182959
8400 14.56421961 2.07530661 17.55899537 -36.95079724 -1.87554201 1.82623076
8800 17.18658041 11.43636644 -20.27314688 -29.12910340 1.45157320 3.46741083
9200 24.67761722 -2.29165096 1.82704774 -24.93437898 7.49649220 9.15246619
9600 27.11411035 0.46893793 -0.80574980 -30.68482698 11.94439608 -1.75062531
10000 25.53342194 -1.65361491 1.00163772 -17.66562135 4.44943448 -0.85211348
10400 30.26473036 7.32924356 -2.24893226 -33.31751302 6.40741918 11.86087013
10800 16.83176625 -11.93604971 -5.79861082 -28.30318870 -0.83372606 -0.02063546
11200 25.11803708 4.28295859 5.80859443 -30.38579281 -4.74453612 0.35494169
11600 13.45659097 -10.66590425 -8.77276581 -9.16277809 13.71024287 17.01662021
12000 28.16013509 8.97975164 6.50052634 -27.40787681 2.96845825 1.28593734
12400 27.53277322 2.69945646 0.03734190 -30.52191507 -7.10083473 -0.03256340
12800 27.94787158 0.03671267 -0.94287007 -22.20557996 1.16104771 0.41081194
13200 28.95411261 -1.59212811 -2.38756313 -25.88085449 -9.04214231 8.82080306
13600 22.32543876 3.28328161 4.97532598 -28.31316074 3.18751142 -3.07892288
14000 27.24285234 0.76475073 3.23151378 -27.88819041 -0.23979890 -0.31434699
14400 23.98205130 -4.27864191 -1.19251609 -27.73192480 0.00000000 0.00000000
14800 27.73192480 0.00000000 0.00000000 -28.44611230 -4.31519412 -0.68906721
15200 27.72095186 0.04238092 0.03657231 -23.82414005 -1.27940946 1.84567232
15600 22.50205013 4.90328063 -2.30599044 -25.56522337 -6.64503005 -4.40403291
16000 28.07085676 3.50976894 -0.67653452 -26.41587351 0.09490325 0.60727893
16400 25.24437817 5.25510656 -6.04961300 -35.80685493 -2.41209981 2.10089973
16800 26.12383645 -4.52824014 -5.39962208 -25.99562759 3.50558800 -2.42195648
17200 26.98690457 -1.00520459 -1.29062219 -25.96547202 0.17286564 -0.27275891
17600 26.63809997 -6.72689120 -10.05987907 -26.85343202 -1.24857407 -1.45347803
18000 24.83636898 2.00604048 -1.75637621 -25.84044261 5.22811639 -3.40345462
18400 27.85824204 -0.47693765 0.26989107 -26.30424892 4.15146326 0.61629638
18800 31.50606233 6.37524432 -3.44811930 -25.32454688 -0.29176929 -7.49989582
19200 27.89828584 3.55169454 0.68405309 -27.50625699 -1.38313413 2.76678238
19600 28.61084132 1.84268229 0.88002303 -28.94570216 -0.54385830 -2.67751374
20000 29.70398593 6.51784246 -0.59432215 -28.02331838 0.74446324 1.51132923
