    timestep      kinetic_energy  potential_energy kinetic_temperature
       0             56.57572        604.29620           1.30059      
      1000           64.00930        596.87271           1.47148      
      2000           60.58332        600.30119           1.39272      
      3000           49.35429        611.55330           1.13458      
      4000           51.08665        609.82470           1.17441      
      5000           56.59619        604.31360           1.30106      
      6000           60.22911        600.65664           1.38458      
      7000           52.51943        608.38661           1.20734      
      8000           54.70737        606.14994           1.25764      
      9000           52.30810        608.64312           1.20249      
     10000           51.57338        609.37132           1.18559      
     11000           49.17464        611.73231           1.13045      
     12000           48.11789        612.78303           1.10616      
     13000           55.39278        605.49737           1.27340      
     14000           60.00660        600.86982           1.37946      
     15000           57.63673        603.18307           1.32498      
     16000           56.90783        603.95128           1.30823      
     17000           56.99201        603.89562           1.31016      
     18000           59.96482        600.87324           1.37850      
     19000           56.31147        604.51998           1.29452      
     20000           54.09644        606.75678           1.24360      
     21000           52.38147        608.54431           1.20417      
     22000           58.77176        602.01135           1.35107      
     23000           53.54853        607.29583           1.23100      
     24000           56.96328        603.88052           1.30950      
     25000           51.18977        609.74450           1.17678      
     26000           52.42306        608.43815           1.20513      
     27000           49.94411        610.96869           1.14814      
     28000           52.55397        608.34655           1.20814      
     29000           50.42579        610.47521           1.15921      
     30000           55.99277        604.91931           1.28719      
     31000           51.79979        609.17621           1.19080      
     32000           64.24037        596.61744           1.47679      
     33000           61.00613        599.91126           1.40244      
     34000           53.25721        607.65315           1.22430      
     35000           57.90776        602.94305           1.33121      
     36000           55.91525        604.95500           1.28541      
     37000           57.14891        603.72514           1.31377      
     38000           55.39632        605.53553           1.27348      
     39000           52.96821        608.00482           1.21766      
     40000           52.56835        608.41880           1.20847      
     41000           56.85289        603.96383           1.30696      
     42000           48.51437        612.42292           1.11527      
     43000           51.88063        609.00812           1.19266      
     44000           46.86271        614.06167           1.07730      
     45000           50.89556        610.03255           1.17001      
     46000           46.25478        614.73103           1.06333      
     47000           65.54635        595.27421           1.50681      
     48000           60.09628        600.79069           1.38152      
     49000           53.95833        606.97682           1.24042      
     50000           48.97073        612.04193           1.12576      
     51000           54.39832        606.51246           1.25054      
     52000           52.66427        608.29075           1.21067      
     53000           58.59177        602.29930           1.34694      
     54000           50.15771        610.81422           1.15305      
     55000           54.41299        606.52384           1.25087      
     56000           58.25148        602.69026           1.33911      
     57000           57.09518        603.83506           1.31253      
     58000           55.75480        605.26043           1.28172      
     59000           56.66271        604.29765           1.30259      
     60000           54.78618        606.20897           1.25945      
     61000           48.47857        612.54271           1.11445      
     62000           53.10141        607.95536           1.22072      
     63000           56.58384        604.39910           1.30078      
     64000           61.31491        599.59049           1.40954      
     65000           49.72397        611.27690           1.14308      
     66000           51.77270        609.21069           1.19018      
     67000           57.90996        603.00217           1.33126      
     68000           54.88131        606.01179           1.26164      
     69000           60.69273        600.17952           1.39524      
     70000           51.81638        609.18908           1.19118      
     71000           60.89238        599.98973           1.39982      
     72000           46.41180        614.61741           1.06694      
     73000           50.37683        610.62781           1.15809      
