    timestep      kinetic_energy  potential_energy kinetic_temperature
       0             0.00000         604.29620           0.00000      
      2000           46.02598        606.39097           1.02280      
      4000           42.89704        601.56449           0.95327      
      6000           53.73834        599.30884           1.19419      
      8000           37.59121        610.03547           0.83536      
     10000           39.66762        602.51012           0.88150      
     12000           42.37190        604.53294           0.94160      
     14000           51.54776        594.70007           1.14551      
     16000           34.45654        607.32076           0.76570      
     18000           49.41900        609.95211           1.09820      
     20000           37.60377        602.93444           0.83564      
     22000           42.99877        602.18210           0.95553      
     24000           31.20111        604.11480           0.69336      
     26000           56.74403        599.34488           1.26098      
     28000           49.94171        604.43954           1.10982      
     30000           34.55507        605.34086           0.76789      
     32000           50.30522        605.95041           1.11789      
     34000           46.60534        604.90178           1.03567      
     36000           42.64084        605.64368           0.94757      
     38000           51.40986        603.95030           1.14244      
     40000           35.22170        604.79122           0.78270      
     42000           44.86246        601.69772           0.99694      
     44000           43.47503        599.88102           0.96611      
     46000           63.93100        597.63472           1.42069      
     48000           50.25277        602.50514           1.11673      
     50000           43.67784        595.45951           0.97062      
     52000           41.78089        601.34323           0.92846      
     54000           45.68474        599.30476           1.01522      
     56000           52.29880        606.01679           1.16220      
     58000           46.69355        601.57782           1.03763      
     60000           38.75515        600.60130           0.86123      
     62000           36.74242        602.33351           0.81650      
     64000           50.69870        596.87982           1.12664      
     66000           50.88716        609.11924           1.13083      
     68000           40.08832        597.80082           0.89085      
     70000           53.42951        608.30895           1.18732      
     72000           55.06212        605.42607           1.22360      
     74000           43.49049        592.70400           0.96646      
     76000           41.31758        603.77442           0.91817      
     78000           38.43996        599.02386           0.85422      
     80000           39.42278        604.64350           0.87606      
     82000           41.42508        608.22027           0.92056      
     84000           44.43542        598.49156           0.98745      
     86000           29.00783        597.64572           0.64462      
     88000           56.60696        602.05638           1.25793      
     90000           40.72062        595.16677           0.90490      
     92000           42.38001        610.29251           0.94178      
     94000           47.93875        606.33900           1.06531      
     96000           49.18820        606.23294           1.09307      
     98000           59.68575        603.05694           1.32635      
     100000          57.09746        607.20251           1.26883      
     102000          60.64954        602.14124           1.34777      
     104000          46.40857        601.41674           1.03130      
     106000          51.28247        603.22183           1.13961      
     108000          36.03693        605.97356           0.80082      
     110000          38.10995        595.39823           0.84689      
     112000          43.74789        606.75649           0.97218      
     114000          50.62426        617.15846           1.12498      
     116000          48.80595        614.48832           1.08458      
     118000          47.95491        601.30211           1.06566      
     120000          38.07064        615.30743           0.84601      
     122000          49.40344        608.16639           1.09785      
     124000          42.16347        602.16889           0.93697      
     126000          38.05793        596.46793           0.84573      
     128000          48.12210        601.72234           1.06938      
     130000          47.31035        604.62844           1.05134      
     132000          38.21652        611.32030           0.84926      
     134000          44.47312        601.35164           0.98829      
     136000          56.14075        606.37140           1.24757      
     138000          35.58819        602.66384           0.79085      
     140000          51.68188        597.36770           1.14849      
     142000          32.29273        600.11451           0.71762      
     144000          49.69336        592.31978           1.10430      
     146000          49.14067        610.69740           1.09201      
     148000          59.42822        603.67480           1.32063      
     150000          39.72491        600.74355           0.88278      
     152000          48.81193        597.27768           1.08471      
     154000          44.39598        607.11694           0.98658      
     156000          53.87204        602.17761           1.19716      
     158000          50.04194        602.74229           1.11204      
     160000          34.69619        606.47715           0.77103      
     162000          42.36452        592.95921           0.94143      
     164000          32.95239        608.55112           0.73228      
     166000          48.73043        605.56512           1.08290      
     168000          51.88680        601.55030           1.15304      
     170000          48.79530        602.09096           1.08434      
     172000          49.42800        599.84171           1.09840      
     174000          33.91314        605.45818           0.75363      
     176000          43.75141        594.94982           0.97225      
     178000          52.17927        607.94716           1.15954      
     180000          46.59577        610.11590           1.03546      
     182000          36.31034        604.13223           0.80690      
     184000          52.07284        600.57236           1.15717      
     186000          51.33214        602.21260           1.14071      
     188000          39.22000        602.39677           0.87156      
     190000          65.60902        603.33726           1.45798      
     192000          39.64355        609.00968           0.88097      
     194000          46.17385        600.70868           1.02609      
     196000          53.42372        597.16998           1.18719      
     198000          47.63594        604.66307           1.05858      
     200000          51.66858        596.24735           1.14819      
     202000          57.69333        598.15917           1.28207      
     204000          47.16420        603.77102           1.04809      
     206000          42.86790        603.54993           0.95262      
     208000          38.79041        601.64603           0.86201      
     210000          49.27755        602.48106           1.09506      
     212000          45.16085        597.57482           1.00357      
     214000          38.45533        603.18218           0.85456      
     216000          37.24061        599.38443           0.82757      
     218000          43.38765        601.38217           0.96417      
     220000          37.90914        598.24339           0.84243      
     222000          54.40050        599.48726           1.20890      
     224000          45.05669        600.59765           1.00126      
     226000          41.74676        603.09985           0.92771      
     228000          48.80896        601.01300           1.08464      
     230000          52.28004        599.56723           1.16178      
     232000          34.70659        602.08992           0.77126      
     234000          52.86290        604.33432           1.17473      
     236000          43.82518        605.17818           0.97389      
     238000          48.77238        603.87987           1.08383      
     240000          39.83743        596.40965           0.88528      
     242000          38.50974        605.46683           0.85577      
     244000          52.33485        597.37419           1.16300      
     246000          40.02968        600.22658           0.88955      
     248000          31.62955        611.51743           0.70288      
     250000          45.16940        606.55021           1.00376      
     252000          49.04028        599.94380           1.08978      
     254000          37.48491        606.85887           0.83300      
     256000          49.03201        597.74419           1.08960      
     258000          41.92282        602.59104           0.93162      
     260000          58.15478        602.81443           1.29233      
     262000          49.99982        605.90626           1.11111      
     264000          38.64944        607.00183           0.85888      
     266000          41.26534        596.28994           0.91701      
     268000          37.21888        600.22285           0.82709      
     270000          45.23546        600.23227           1.00523      
     272000          38.63514        606.71299           0.85856      
     274000          49.70786        605.83061           1.10462      
     276000          41.45486        599.35009           0.92122      
     278000          36.90843        605.21662           0.82019      
     280000          43.89533        594.36401           0.97545      
     282000          49.26131        605.88569           1.09470      
     284000          39.19188        606.81671           0.87093      
     286000          44.64057        600.35067           0.99201      
     288000          43.53005        603.54699           0.96733      
     290000          44.90278        596.32036           0.99784      
     292000          59.11937        595.51705           1.31376      
     294000          35.42409        597.70059           0.78720      
     296000          47.71379        597.78071           1.06031      
     298000          58.32930        604.39824           1.29621      
     300000          35.87251        603.05462           0.79717      
     302000          41.87958        603.68480           0.93066      
     304000          34.31257        598.74474           0.76250      
     306000          42.92916        600.93947           0.95398      
     308000          46.68656        599.83846           1.03748      
     310000          44.79317        598.64243           0.99540      
     312000          41.71599        604.45350           0.92702      
     314000          33.96690        607.09551           0.75482      
     316000          45.62989        601.92250           1.01400      
     318000          44.49303        611.13907           0.98873      
     320000          56.61437        596.73339           1.25810      
     322000          39.70499        606.45134           0.88233      
     324000          40.85063        599.93993           0.90779      
     326000          39.95679        601.52818           0.88793      
     328000          51.20481        597.90361           1.13788      
     330000          61.03210        607.71283           1.35627      
     332000          41.32743        601.55079           0.91839      
     334000          48.44108        614.02854           1.07647      
     336000          44.57971        601.96938           0.99066      
     338000          40.50205        606.19884           0.90005      
     340000          39.41142        602.24325           0.87581      
     342000          44.14431        608.41760           0.98098      
     344000          43.90544        599.60506           0.97568      
     346000          37.56800        611.46647           0.83484      
     348000          47.11060        603.33985           1.04690      
     350000          54.21228        598.22625           1.20472      
     352000          44.03860        604.06049           0.97864      
     354000          33.51588        600.49601           0.74480      
     356000          47.75033        603.37381           1.06112      
     358000          31.83804        616.31208           0.70751      
     360000          52.02251        602.52513           1.15606      
     362000          50.87503        606.28127           1.13056      
     364000          40.58096        595.65322           0.90180      
     366000          51.06380        599.57710           1.13475      
     368000          49.70611        607.13587           1.10458      
     370000          43.84686        608.87149           0.97437      
     372000          53.86518        603.10643           1.19700      
     374000          46.09362        597.92680           1.02430      
     376000          44.78552        600.16973           0.99523      
     378000          47.77379        599.64901           1.06164      
     380000          52.56227        605.69335           1.16805      
     382000          40.43000        600.53949           0.89844      
     384000          51.51673        609.66418           1.14482      
     386000          45.38109        601.14847           1.00847      
     388000          40.93531        595.83419           0.90967      
     390000          39.12857        599.69618           0.86952      
     392000          48.92527        604.79215           1.08723      
     394000          46.34449        606.23692           1.02988      
     396000          36.71847        595.89946           0.81597      
     398000          38.55379        602.83170           0.85675      
     400000          47.37499        605.68644           1.05278      
     402000          42.31893        602.65932           0.94042      
     404000          50.11787        598.17784           1.11373      
     406000          43.39776        601.86390           0.96439      
     408000          45.90861        598.24701           1.02019      
     410000          51.48850        603.93531           1.14419      
     412000          53.35105        603.76460           1.18558      
     414000          47.72012        600.86546           1.06045      
     416000          45.05075        605.73778           1.00113      
     418000          44.08071        595.86453           0.97957      
     420000          35.97028        599.52466           0.79934      
     422000          36.82554        604.61556           0.81835      
     424000          35.83564        608.98591           0.79635      
     426000          43.26906        597.08612           0.96153      
     428000          39.19464        603.32204           0.87099      
     430000          36.06377        613.38270           0.80142      
     432000          32.44072        594.82886           0.72090      
     434000          64.51926        616.73189           1.43376      
